NOME_SALA,SITUACAO_SALA,DATA_SITUACAO_SALA,ASSENTOS_SALA,ASSENTOS_CADEIRANTES,ASSENTOS_MOBILIDADE_REDUZIDA,ASSENTOS_OBESIDADE,ACESSO_ASSENTOS_COM_RAMPA,ACESSO_SALA_COM_RAMPA,BANHEIROS_ACESSIVEIS,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,SITUACAO_EXIBIDOR
SALA METROPOLITANO BARRA 03,EM FUNCIONAMENTO,24/04/2021,230.0,4.0,,,SIM,NÃO,SIM,RIO DE JANEIRO,22750-000,RJ,REGULAR
SALA METROPOLITANO BARRA 04,EM FUNCIONAMENTO,01/07/2021,230.0,4.0,,,SIM,NÃO,SIM,RIO DE JANEIRO,22750-000,RJ,REGULAR
SALA METROPOLITANO BARRA 05,EM FUNCIONAMENTO,24/04/2021,137.0,2.0,,,SIM,NÃO,SIM,RIO DE JANEIRO,22750-000,RJ,REGULAR
SALA METROPOLITANO BARRA 06,EM FUNCIONAMENTO,24/04/2021,193.0,2.0,,,SIM,NÃO,SIM,RIO DE JANEIRO,22750-000,RJ,REGULAR
SALA METROPOLITANO BARRA 07,EM FUNCIONAMENTO,24/04/2021,380.0,6.0,,,SIM,NÃO,SIM,RIO DE JANEIRO,22750-000,RJ,REGULAR
SALA PASSEIO 01,EM FUNCIONAMENTO,18/07/2021,193.0,4.0,,,SIM,NÃO,SIM,GOIÂNIA,74445-360,GO,REGULAR
SALA PASSEIO 02,EM FUNCIONAMENTO,18/07/2021,193.0,4.0,,,SIM,NÃO,SIM,GOIÂNIA,74445-360,GO,REGULAR
SALA PASSEIO 03,EM FUNCIONAMENTO,18/07/2021,244.0,4.0,,,SIM,NÃO,SIM,GOIÂNIA,74445-360,GO,REGULAR
SALA PASSEIO 04,EM FUNCIONAMENTO,18/07/2021,334.0,6.0,,,SIM,NÃO,SIM,GOIÂNIA,74445-360,GO,REGULAR
SALA PASSEIO 05,EM FUNCIONAMENTO,18/07/2021,244.0,4.0,,,SIM,NÃO,SIM,GOIÂNIA,74445-360,GO,REGULAR
SALA PASSEIO 06,EM FUNCIONAMENTO,18/07/2021,193.0,4.0,,,SIM,NÃO,SIM,GOIÂNIA,74445-360,GO,REGULAR
SALA PASSEIO 07,EM FUNCIONAMENTO,18/07/2021,193.0,4.0,,,SIM,NÃO,SIM,GOIÂNIA,74445-360,GO,REGULAR
CINEMARK LAR CENTER SALA 01,EM FUNCIONAMENTO,24/04/2021,435.0,9.0,5.0,10.0,SIM,NÃO,SIM,SÃO PAULO,02049-900,SP,REGULAR
CINEMARK LAR CENTER SALA 02,EM FUNCIONAMENTO,24/04/2021,118.0,4.0,1.0,2.0,SIM,NÃO,SIM,SÃO PAULO,02049-900,SP,REGULAR
CINEMARK LAR CENTER SALA 03,EM FUNCIONAMENTO,24/04/2021,118.0,4.0,1.0,2.0,SIM,NÃO,SIM,SÃO PAULO,02049-900,SP,REGULAR
SALA CINEMARK ATRIUM 01,EM FUNCIONAMENTO,24/04/2021,409.0,6.0,,,SIM,NÃO,SIM,SANTO ANDRÉ,09111-340,SP,REGULAR
SALA CINEMARK ATRIUM 02,EM FUNCIONAMENTO,24/04/2021,240.0,4.0,,,SIM,NÃO,SIM,SANTO ANDRÉ,09111-340,SP,REGULAR
SALA CINEMARK ATRIUM 03,EM FUNCIONAMENTO,24/04/2021,240.0,4.0,,,SIM,NÃO,SIM,SANTO ANDRÉ,09111-340,SP,REGULAR
SALA CINEMARK ATRIUM 04,EM FUNCIONAMENTO,24/04/2021,226.0,4.0,,,SIM,NÃO,SIM,SANTO ANDRÉ,09111-340,SP,REGULAR
SALA CINEMARK ATRIUM 05,EM FUNCIONAMENTO,24/04/2021,214.0,4.0,,,SIM,NÃO,SIM,SANTO ANDRÉ,09111-340,SP,REGULAR
SALA CINEMARK ATRIUM 06,EM FUNCIONAMENTO,24/04/2021,199.0,4.0,,,SIM,NÃO,SIM,SANTO ANDRÉ,09111-340,SP,REGULAR
SALA CINEMARK ATRIUM 07,EM FUNCIONAMENTO,24/04/2021,199.0,4.0,,,SIM,NÃO,SIM,SANTO ANDRÉ,09111-340,SP,REGULAR
CINEMARK VILA VELHA SALA 01,EM FUNCIONAMENTO,17/06/2021,305.0,6.0,4.0,8.0,SIM,NÃO,SIM,VILA VELHA,29107-900,ES,REGULAR
CINEMARK VILA VELHA SALA 02,EM FUNCIONAMENTO,17/06/2021,372.0,8.0,4.0,8.0,SIM,NÃO,SIM,VILA VELHA,29107-900,ES,REGULAR
CINEMARK VILA VELHA SALA 03,EM FUNCIONAMENTO,17/06/2021,198.0,4.0,1.0,2.0,SIM,NÃO,SIM,VILA VELHA,29107-900,ES,REGULAR
CINEMARK VILA VELHA SALA 04,EM FUNCIONAMENTO,24/06/2021,198.0,4.0,1.0,2.0,SIM,NÃO,SIM,VILA VELHA,29107-900,ES,REGULAR
CINEMARK VILA VELHA SALA 05,EM FUNCIONAMENTO,24/06/2021,198.0,4.0,1.0,2.0,SIM,NÃO,SIM,VILA VELHA,29107-900,ES,REGULAR
CINEMARK VILA VELHA SALA 06,EM FUNCIONAMENTO,17/06/2021,198.0,4.0,1.0,2.0,SIM,NÃO,SIM,VILA VELHA,29107-900,ES,REGULAR
CINEMARK VILA VELHA SALA 07,EM FUNCIONAMENTO,17/06/2021,198.0,4.0,1.0,2.0,SIM,NÃO,SIM,VILA VELHA,29107-900,ES,REGULAR
CINEMARK VILA VELHA SALA 08,EM FUNCIONAMENTO,17/06/2021,273.0,6.0,3.0,6.0,SIM,NÃO,SIM,VILA VELHA,29107-900,ES,REGULAR
CINEMARK CIDADE SÃO PAULO SALA 01,EM FUNCIONAMENTO,24/04/2021,184.0,4.0,1.0,4.0,SIM,NÃO,SIM,SÃO PAULO,01310-100,SP,REGULAR
CINEMARK CIDADE SÃO PAULO SALA 02,EM FUNCIONAMENTO,24/04/2021,218.0,5.0,3.0,6.0,SIM,NÃO,SIM,SÃO PAULO,01310-100,SP,REGULAR
CINEMARK CIDADE SÃO PAULO SALA 03,EM FUNCIONAMENTO,24/04/2021,218.0,5.0,3.0,6.0,SIM,NÃO,SIM,SÃO PAULO,01310-100,SP,REGULAR
CINEMARK CIDADE SÃO PAULO SALA 04,EM FUNCIONAMENTO,24/04/2021,218.0,5.0,3.0,6.0,SIM,NÃO,SIM,SÃO PAULO,01310-100,SP,REGULAR
CINEMARK CIDADE SÃO PAULO SALA 05,EM FUNCIONAMENTO,24/04/2021,121.0,4.0,1.0,4.0,SIM,NÃO,SIM,SÃO PAULO,01310-100,SP,REGULAR
CINEMARK CIDADE SÃO PAULO SALA 06,EM FUNCIONAMENTO,24/04/2021,120.0,4.0,1.0,4.0,SIM,NÃO,SIM,SÃO PAULO,01310-100,SP,REGULAR
2120 CINEMARK MOGI DAS CRUZES SALA 01,EM FUNCIONAMENTO,24/04/2021,197.0,4.0,1.0,4.0,SIM,NÃO,SIM,MOGI DAS CRUZES,08780-910,SP,REGULAR
2120 CINEMARK MOGI DAS CRUZES SALA 02,EM FUNCIONAMENTO,24/04/2021,197.0,4.0,1.0,4.0,SIM,NÃO,SIM,MOGI DAS CRUZES,08780-910,SP,REGULAR
2120 CINEMARK MOGI DAS CRUZES SALA 03,EM FUNCIONAMENTO,24/04/2021,197.0,4.0,1.0,4.0,SIM,NÃO,SIM,MOGI DAS CRUZES,08780-910,SP,REGULAR
2120 CINEMARK MOGI DAS CRUZES SALA 04,EM FUNCIONAMENTO,24/04/2021,175.0,4.0,2.0,4.0,SIM,NÃO,SIM,MOGI DAS CRUZES,08780-910,SP,REGULAR
2120 CINEMARK MOGI DAS CRUZES SALA 05,EM FUNCIONAMENTO,24/04/2021,383.0,8.0,4.0,8.0,SIM,NÃO,SIM,MOGI DAS CRUZES,08780-910,SP,REGULAR
2120 CINEMARK MOGI DAS CRUZES SALA 06,EM FUNCIONAMENTO,24/04/2021,353.0,8.0,4.0,8.0,SIM,NÃO,SIM,MOGI DAS CRUZES,08780-910,SP,REGULAR
2120 CINEMARK MOGI DAS CRUZES SALA 07,EM FUNCIONAMENTO,24/04/2021,79.0,2.0,1.0,2.0,SIM,NÃO,SIM,MOGI DAS CRUZES,08780-910,SP,REGULAR
CINEMARK LAGES GARDEN SALA 01,EM FUNCIONAMENTO,24/04/2021,163.0,4.0,1.0,2.0,SIM,NÃO,SIM,LAGES,88524-900,SC,REGULAR
CINEMARK LAGES GARDEN SALA 02,EM FUNCIONAMENTO,24/04/2021,163.0,4.0,1.0,2.0,SIM,NÃO,SIM,LAGES,88524-900,SC,REGULAR
CINEMARK LAGES GARDEN SALA 03,EM FUNCIONAMENTO,24/04/2021,163.0,4.0,1.0,2.0,SIM,NÃO,SIM,LAGES,88524-900,SC,REGULAR
CINEMARK LAGES GARDEN SALA 04,EM FUNCIONAMENTO,24/04/2021,163.0,4.0,1.0,2.0,SIM,NÃO,SIM,LAGES,88524-900,SC,REGULAR
CINEMARK VARGINHA SALA 01,EM FUNCIONAMENTO,25/06/2021,216.0,5.0,2.0,6.0,SIM,NÃO,SIM,VARGINHA,37026-280,MG,REGULAR
CINEMARK VARGINHA SALA 02,EM FUNCIONAMENTO,25/06/2021,216.0,5.0,2.0,5.0,SIM,NÃO,SIM,VARGINHA,37026-280,MG,REGULAR
CINEMARK VARGINHA SALA 03,EM FUNCIONAMENTO,25/06/2021,184.0,4.0,2.0,4.0,SIM,NÃO,SIM,VARGINHA,37026-280,MG,REGULAR
CINEMARK VARGINHA SALA 04,EM FUNCIONAMENTO,25/06/2021,184.0,4.0,2.0,4.0,SIM,NÃO,SIM,VARGINHA,37026-280,MG,REGULAR
CINEMARK SÃO JOSÉ DOS PINHAIS SALA 01,EM FUNCIONAMENTO,04/08/2021,147.0,2.0,1.0,2.0,SIM,NÃO,SIM,SÃO JOSÉ DOS PINHAIS,83005-010,PR,REGULAR
CINEMARK SÃO JOSÉ DOS PINHAIS SALA 02,EM FUNCIONAMENTO,04/08/2021,150.0,2.0,1.0,2.0,SIM,NÃO,SIM,SÃO JOSÉ DOS PINHAIS,83005-010,PR,REGULAR
CINEMARK SÃO JOSÉ DOS PINHAIS SALA 03,EM FUNCIONAMENTO,04/08/2021,247.0,2.0,3.0,6.0,SIM,NÃO,SIM,SÃO JOSÉ DOS PINHAIS,83005-010,PR,REGULAR
CINEMARK SÃO JOSÉ DOS PINHAIS SALA 04,EM FUNCIONAMENTO,04/08/2021,195.0,2.0,3.0,6.0,SIM,NÃO,SIM,SÃO JOSÉ DOS PINHAIS,83005-010,PR,REGULAR
CINEMARK SÃO JOSÉ DOS PINHAIS SALA 05,EM FUNCIONAMENTO,04/08/2021,248.0,2.0,3.0,6.0,SIM,NÃO,SIM,SÃO JOSÉ DOS PINHAIS,83005-010,PR,REGULAR
CINEMARK JUA GARDEN SALA 01,EM FUNCIONAMENTO,24/04/2021,196.0,4.0,2.0,4.0,SIM,NÃO,SIM,JUAZEIRO,48908-000,BA,REGULAR
CINEMARK JUA GARDEN SALA 02,EM FUNCIONAMENTO,24/04/2021,180.0,4.0,2.0,4.0,SIM,NÃO,SIM,JUAZEIRO,48908-000,BA,REGULAR
CINEMARK JUA GARDEN SALA 03,EM FUNCIONAMENTO,24/04/2021,180.0,4.0,2.0,4.0,SIM,NÃO,SIM,JUAZEIRO,48908-000,BA,REGULAR
CINEMARK JUA GARDEN SALA 04,EM FUNCIONAMENTO,24/04/2021,196.0,4.0,2.0,4.0,SIM,NÃO,SIM,JUAZEIRO,48908-000,BA,REGULAR
CINEMARK BRAGANÇA GARDEN SHOPPING SALA 01,EM FUNCIONAMENTO,24/04/2021,195.0,4.0,2.0,4.0,SIM,NÃO,SIM,BRAGANÇA PAULISTA,12918-001,SP,REGULAR
